Directory,Photo,Suffix,Year,Month,Day,Left,Right,Top,Bottom,Width,Height
Berberichs/E01,E01-0041,.jpg,0,0,0,25667,38228,28950,43584,600,618
Berberichs/E01,E01-0042,.jpg,0,0,0,10048,16492,32079,39490,600,619
Berberichs/E01,E01-0066,.jpg,0,0,0,28726,34842,12728,19775,600,623
Berberichs/E01,E01-0071,.jpg,0,0,0,50898,59308,27939,37389,600,638
Berberichs/E01,E01-0087,.jpg,0,0,0,48168,54721,24047,31954,600,605
Berberichs/E01,E01-0097,.jpg,0,0,0,27884,33526,24247,31238,604,600
Berberichs/E04,E04-0388,.jpg,0,0,0,29464,34957,21189,31347,883,600
Berberichs/E06,E06-0504,.jpg,0,0,0,12171,24788,10376,32658,883,600
Berberichs/E06,E06-0507,.jpg,0,0,0,31650,38725,38009,52537,880,600
Berberichs/E06,E06-0564,.jpg,0,0,0,30612,37260,32221,45656,897,600
Berberichs/E06,E06-0591,.jpg,0,0,0,38436,44107,19223,31019,890,600
Berberichs/E06,E06-0593,.jpg,0,0,0,42852,47359,21407,29381,887,600
Berberichs/E06,E06-0596,.jpg,0,0,0,41281,46220,7099,15837,889,600
Berberichs/E07,E07-0607,.jpg,0,0,0,2075,18786,5159,18650,600,889
Berberichs/E08,E08-0773,.jpg,0,0,0,30258,36014,22718,32986,888,600
Berberichs/E10,E10-0906,.jpg,0,0,0,32060,37862,22936,33204,881,600
Berberichs/E10,E10-0907,.jpg,0,0,0,37734,41886,25885,33204,884,600
Berberichs/E10,E10-0908,.jpg,0,0,0,30617,38327,17913,31457,884,600
Berberichs/E10,E10-0909,.jpg,0,0,0,22017,27336,4587,13871,887,600
Berberichs/E11,E11-1015,.jpg,0,0,0,23937,31696,20315,34078,887,600
Berberichs/E11,E11-1024,.jpg,0,0,0,1845,8930,18786,32439,888,600
Berberichs/E12,E12-1135,.jpg,0,0,0,31238,39867,18957,25991,600,885
Berberichs/E12,E12-1136,.jpg,0,0,0,34395,38241,24466,30692,886,600
Berberichs/E12,E12-1143,.jpg,0,0,0,26332,30918,22609,31565,886,600
Berberichs/E12,E12-1144,.jpg,0,0,0,11921,17179,20752,30036,885,600
Berberichs/E12,E12-1145,.jpg,0,0,0,43714,48316,20316,28398,883,600
Berberichs/E13,E13-1251,.jpg,0,0,0,6871,13963,10704,23265,887,600
Berberichs/E13,E13-1252,.jpg,0,0,0,3251,12043,8082,23810,887,600
Berberichs/E14,E14-1364,.jpg,1997,12,27,55175,58187,25230,30473,892,600
Berberichs/E14,E14-1371,.jpg,1997,12,27,11962,15603,13435,19879,882,600
Berberichs/E14,E14-1372,.jpg,1997,12,27,57528,59381,27743,31129,884,600
Berberichs/E14,E14-1373,.jpg,1997,12,27,55834,57981,27196,30910,885,600
Berberichs/E15,E15-1415,.jpg,0,0,0,42198,49654,17694,30692,879,600
Berberichs/E15,E15-1416,.jpg,0,0,0,0,8313,8847,23811,875,600
Berberichs/E17,E17-1661,.jpg,0,0,0,31217,39557,18350,33313,888,600
Berberichs/E19,E19-1844,.jpg,0,0,0,13582,20113,23811,33423,883,600
Berberichs/F01,F01-0069,.jpg,0,0,0,29000,39936,16493,34187,809,600
Berberichs/F01,F01-0070,.jpg,0,0,0,35082,48268,17913,39976,835,600
Berberichs/F02,F02-0124,.jpg,0,0,0,17527,24197,12997,24466,845,600
Berberichs/F03,F03-0203,.jpg,0,0,0,17716,26417,7099,21735,836,600
Berberichs/F04,F04-0347,.jpg,0,0,0,25234,35630,11795,29927,870,600
Berberichs/F07,F07-0699,.jpg,0,0,0,12998,19535,12451,23483,842,600
Berberichs/F09,F09-0861,.jpg,0,0,0,20618,27976,22609,35061,855,600
Berberichs/F09,F09-0866,.jpg,0,0,0,29203,33648,20534,28180,855,600
Berberichs/F13,F13-1233,.jpg,0,0,0,32898,42173,26978,40741,749,600
Berberichs/F13,F13-1265,.jpg,0,0,0,46810,55912,31893,45765,756,600
Berberichs/F14,F14-1315,.jpg,0,0,0,29407,32985,36481,42597,751,600
Berberichs/F14,F14-1317,.jpg,0,0,0,13570,15976,31456,35061,763,600
Berberichs/F14,F14-1336,.jpg,0,0,0,12272,21108,21156,33954,757,600
Berberichs/F14,F14-1339,.jpg,0,0,0,29265,37519,14745,27743,786,600
Berberichs/F16,F16-1550,.jpg,0,0,0,41317,47740,27087,37136,755,600
Berberichs/F16,F16-1569,.jpg,0,0,0,32113,36737,14308,21299,751,600
Berberichs/F17,F17-1618,.jpg,0,0,0,37923,44485,22391,32439,769,600
Berberichs/F17,F17-1622,.jpg,0,0,0,39648,53192,16532,29145,600,769
Berberichs/F17,F17-1624,.jpg,0,0,0,34453,42590,19441,33969,894,600
Berberichs/F17,F17-1634,.jpg,0,0,0,47199,54931,26432,40304,890,600
Berberichs/F17,F17-1635,.jpg,0,0,0,49974,53415,25668,32221,876,600
Berberichs/F17,F17-1636,.jpg,0,0,0,34699,46216,3932,24575,899,600
Berberichs/F17,F17-1647,.jpg,0,0,0,28320,33103,11141,19551,877,600
Berberichs/F17,F17-1648,.jpg,0,0,0,40430,49041,21189,36808,898,600
Berberichs/F17,F17-1669,.jpg,0,0,0,28075,31277,12560,22828,880,600
Berberichs/F17,F17-1677,.jpg,0,0,0,32292,40840,24466,39757,897,600
Berberichs/F17,F17-1687,.jpg,0,0,0,39394,43275,20752,27743,895,600
Berberichs/F19,F19-1826,.jpg,0,0,0,34668,40409,13871,24029,879,600
Berberichs/F19,F19-1834,.jpg,0,0,0,57399,63668,14418,25449,878,600
Berberichs/F19,F19-1854,.jpg,0,0,0,56426,61832,19551,29163,885,600
Berberichs/F19,F19-1898,.jpg,0,0,0,39773,47290,20862,34514,898,600
Berberichs/F19,F19-1899,.jpg,0,0,0,25230,32112,18787,24952,600,893
Berberichs/F20,F20-1902,.jpg,0,0,0,30414,36786,12888,24029,905,600
Berberichs/F20,F20-1903,.jpg,0,0,0,35813,47261,14308,34733,893,600
Berberichs/F21,F21-2000,.jpg,0,0,0,38161,45500,19551,32548,893,600
Books/ArtOHara,ArtOHara_Front,.png,0,0,0,30344,48536,22676,41683,933,893
Books/ArtOHara,ArtOHara_P01,.png,0,0,0,41329,53179,38511,50361,907,907
Books/ArtOHara,ArtOHara_P01,.png,0,0,0,13583,24060,37717,48194,907,907
Books/ArtOHara,ArtOHara_P02,.png,0,0,0,11248,16619,42601,47971,903,903
Books/ArtOHara,ArtOHara_P03,.png,0,0,0,43835,46520,48625,51310,903,903
Books/ArtOHara,ArtOHara_P03,.png,0,0,0,55882,57116,7620,8854,903,903
Books/ArtOHara,ArtOHara_P05,.png,0,0,0,52442,56493,9176,13222,906,907
Books/ArtOHara,ArtOHara_P07,.png,0,0,0,10595,20538,8999,18942,903,903
Books/ArtOHara,ArtOHara_P08,.png,0,0,0,8463,20108,31538,43183,906,906
Books/ArtOHara,ArtOHara_P08,.png,0,0,0,50778,53382,4774,7378,906,906
Books/ArtOHara,ArtOHara_P09,.png,0,0,0,10560,12730,18806,20976,906,906
Books/ArtOHara,ArtOHara_P10,.png,0,0,0,36174,39074,23751,26648,904,905
Books/ArtOHara,ArtOHara_P11,.png,0,0,0,52288,56297,37162,42471,904,905
Books/ArtOHara,ArtOHara_P13,.png,0,0,0,49361,53246,6291,10171,624,625
Books/ArtOHara,ArtOHara_P14,.png,0,0,0,9837,20109,7081,17341,906,907
Books/ArtOHara,ArtOHara_P14,.png,0,0,0,51501,54684,8526,11705,906,907
Books/ArtOHara,ArtOHara_P15,.png,0,0,0,42098,43762,4190,5852,906,907
Books/ArtOHara,ArtOHara_P15,.png,0,0,0,11356,14684,31719,35043,906,907
Books/ArtOHara,ArtOHara_P15,.png,0,0,0,13671,14900,5057,6286,906,907
Books/ArtOHara,ArtOHara_P16,.png,0,0,0,14668,18208,4330,7866,907,908
Books/ArtOHara,ArtOHara_P17,.png,0,0,0,41907,45159,33705,36953,907,908
Books/ArtOHara,ArtOHara_P19,.png,0,0,0,11503,15076,31679,36727,906,907
Books/ArtOHara,ArtOHara_P20,.png,0,0,0,16581,21484,5334,10237,909,909
Books/ArtOHara,ArtOHara_P20,.png,0,0,0,12271,15665,43951,48825,909,909
Books/ArtOHara,ArtOHara_P22,.png,0,0,0,22038,26098,34469,38524,904,905
Books/ArtOHara,ArtOHara_P23,.png,0,0,0,47740,51574,46604,50433,904,905
Books/ArtOHara,ArtOHara_P24,.png,0,0,0,29696,32008,13135,15445,907,908
Books/ArtOHara,ArtOHara_P24,.png,0,0,0,50578,52601,48501,50522,907,908
Books/ArtOHara,ArtOHara_P25,.png,0,0,0,42991,48049,26271,31324,907,908
Books/ArtOHara,ArtOHara_P25,.png,0,0,0,20828,28322,4090,14186,907,908
Books/ArtOHara,ArtOHara_P25,.png,0,0,0,29891,32244,50565,53089,907,908
Books/ArtOHara,ArtOHara_ZBack,.png,0,0,0,25567,32179,15337,21942,892,893
Books/BobRita60,BobRita60_P04,.png,0,0,0,36761,40103,15358,19671,804,623
Books/BobRita60,BobRita60_P05,.png,0,0,0,27013,29461,45631,48807,803,619
Books/BobRita60,BobRita60_P05,.png,0,0,0,46350,48430,12271,14621,803,619
Books/BobRita60,BobRita60_P20,.png,0,0,0,41356,46729,9977,16909,805,624
Books/DaisyAndSteve,DaisyAndSteve_P07,.png,0,0,0,8396,11812,32908,37422,921,697
Books/DaisyAndSteve,DaisyAndSteve_P10,.png,0,0,0,43784,48563,15701,22001,919,697
Books/DaisyAndSteve,DaisyAndSteve_P22,.png,0,0,0,43287,47552,15044,20685,922,697
Books/DaisyAndSteve,DaisyAndSteve_P31,.png,0,0,0,19233,23507,13409,19075,920,694
Books/Family2011,Family2011_P05,.png,0,0,0,49172,53626,27372,32567,765,656
Books/Family2011,Family2011_P05,.png,0,0,0,32724,34866,25974,28472,765,656
Books/Family2011,Family2011_P05,.png,0,0,0,29897,31525,48851,50749,765,656
Books/Family2011,Family2011_P25,.png,0,0,0,27792,29078,15031,16534,764,654
Books/HarryOHaraII,HarryOHaraII_P02,.png,0,0,0,55693,57982,20656,22838,859,901
Books/HarryOHaraII,HarryOHaraII_P02,.png,0,0,0,20140,23383,14765,19020,859,901
Books/HarryOHaraII,HarryOHaraII_P02,.png,0,0,0,19715,21175,51087,52915,859,901
Books/HarryOHaraII,HarryOHaraII_P03,.png,0,0,0,45897,48756,13354,16111,871,903
Books/HarryOHaraII,HarryOHaraII_P03,.png,0,0,0,14220,17004,39553,42238,871,903
Books/HarryOHaraII,HarryOHaraII_P03,.png,0,0,0,58042,60479,43428,46649,871,903
Books/HarryOHaraII,HarryOHaraII_P04,.png,0,0,0,50490,51958,9144,10596,893,903
Books/HarryOHaraII,HarryOHaraII_P04,.png,0,0,0,19667,21282,21482,23078,893,903
Books/HarryOHaraII,HarryOHaraII_P04,.png,0,0,0,56802,60031,40605,44887,893,903
Books/HarryOHaraII,HarryOHaraII_P05,.png,0,0,0,6305,10734,37553,41863,873,897
Books/HarryOHaraII,HarryOHaraII_P05,.png,0,0,0,4015,7131,5004,8109,873,897
Books/HarryOHaraII,HarryOHaraII_P05,.png,0,0,0,52022,53298,9095,11141,873,897
Books/HarryOHaraII,HarryOHaraII_P05,.png,0,0,0,49582,51497,35068,37406,873,897
Books/HarryOHaraII,HarryOHaraII_P06,.png,0,0,0,13925,17293,37162,41166,865,905
Books/JeanneOHara,JeanneOHara_P08,.png,0,0,0,34531,38209,21991,25571,873,897
Books/JeanneOHara,JeanneOHara_P08,.png,0,0,0,14713,17791,4383,7378,873,897
Books/JeanneOHara,JeanneOHara_P09,.png,0,0,0,45762,49956,33980,38099,875,891
Books/JeanneOHara,JeanneOHara_P09,.png,0,0,0,31082,33404,31848,34128,875,891
Books/JeanneOHara,JeanneOHara_P09,.png,0,0,0,6516,12732,14195,20300,875,891
Books/JeanneOHara,JeanneOHara_P09,.png,0,0,0,51753,54150,51854,54207,875,891
Books/JeanneOHara,JeanneOHara_P15,.png,0,0,0,15429,17900,4100,6517,875,895
Books/JeanneOHara,JeanneOHara_P20,.png,0,0,0,42466,44114,8201,9797,875,903
Books/JeanneOHara,JeanneOHara_P26,.png,0,0,0,31459,33925,7402,9797,877,903
Books/JeanneOHara,JeanneOHara_ZBack,.png,0,0,0,26399,32806,16328,22406,849,895
Books/MaryHarryOHara,MaryHarryOHara_P18,.png,0,0,0,45652,49169,35281,39928,913,691
Books/MaryHarryOHara,MaryHarryOHara_P22,.png,0,0,0,47891,52931,37367,44006,910,691
Books/MaryHarryOHara,MaryHarryOHara_P23,.png,0,0,0,44076,47483,6173,10637,904,690
Books/MaryHarryOHara,MaryHarryOHara_P23,.png,0,0,0,32984,34942,14911,17475,904,690
Books/Russia2004,Russia2004_P16,.png,2004,3,0,9974,14333,7360,12592,887,739
Books/Trips2011,Trips2011_P06,.png,0,0,0,52362,54571,29857,32433,801,687
Jeanne_Photos/art,1984-11-01_Sheen_YMCA_Fitness_day,.jpg,1984,11,1,0,5220,3831,17606,862,600
Jeanne_Photos/art,Art_hospital_stay,.jpg,0,0,0,36808,44891,20209,25550,600,908
Jeanne_Photos/art,img20190119_14312003,.jpg,0,0,0,19223,39102,12195,35418,600,618
Jeanne_Photos/art,img20190119_21542588,.jpg,0,0,0,42727,49613,11468,21626,885,600
Jeanne_Photos/art,img20190119_21565341,.jpg,0,0,0,25117,34572,11250,28398,908,600
Jeanne_Photos/art,img20190119_22373627,.jpg,0,0,0,26978,37792,8685,17083,600,913
Jeanne_Photos/art,img20190119_22374094,.jpg,0,0,0,41287,52100,12489,21031,600,913
Jeanne_Photos/art,img20190119_22394116,.jpg,0,0,0,19249,33452,9502,35170,909,600
Jeanne_Photos/art,img20190120_00030858,.jpg,0,0,0,52209,56250,36933,40312,600,873
