Directory,Photo,Suffix,Year,Month,Day,Left,Right,Top,Bottom,Width,Height
Berberichs/E01,E01-0020,.jpg,0,0,0,25230,31893,28949,36479,600,618
Berberichs/E02,E02-0170,.jpg,0,0,0,18901,20528,23483,26214,846,600
Berberichs/E02,E02-0171,.jpg,0,0,0,15679,21692,36044,46529,861,600
Berberichs/E06,E06-0582,.jpg,0,0,0,18264,22648,26541,34514,897,600
Berberichs/E08,E08-0756,.jpg,0,0,0,40458,45342,13106,22063,899,600
Berberichs/E13,E13-1251,.jpg,0,0,0,21352,26376,18131,27087,887,600
Berberichs/E13,E13-1252,.jpg,0,0,0,21130,26893,16274,26542,887,600
Berberichs/F06,F06-0562,.jpg,0,0,0,18679,24128,28835,38119,842,600
Berberichs/F07,F07-0699,.jpg,0,0,0,32300,38060,20643,30473,842,600
Berberichs/F19,F19-1854,.jpg,0,0,0,46725,51465,24247,32548,885,600
Berberichs/F21,F21-2050,.jpg,2004,0,0,26566,30602,22828,30801,893,600
Books/AA_2010-11,AA_2010-11_Front,.png,0,0,0,19801,26848,30124,37366,930,905
Books/AA_2010-11,AA_2010-11_P01,.png,0,0,0,22349,32371,14284,24262,909,913
Books/AA_2010-11,AA_2010-11_P05,.png,0,0,0,16853,19313,15895,18352,906,907
Books/AA_2010-11,AA_2010-11_P07,.png,0,0,0,46564,48935,44719,47087,912,913
Books/AA_2010-11,AA_2010-11_P08,.png,0,0,0,15377,19904,8326,12848,912,913
Books/AA_2010-11,AA_2010-11_P16,.png,0,0,0,9629,23641,18088,32085,912,913
Books/AA_2010-11,AA_2010-11_P18,.png,0,0,0,20380,24053,47982,51650,910,911
Books/AA_2010-11,AA_2010-11_P20,.png,0,0,0,10203,13581,41847,45221,912,913
Books/AA_2010-11,AA_2010-11_P21,.png,0,0,0,49366,51737,10695,13063,912,913
Books/AA_Nov2010,AA_Nov2010_P01,.png,0,0,0,42222,45181,40780,43713,908,916
Books/AA_Nov2010,AA_Nov2010_P07,.png,0,0,0,18745,28117,23863,33235,909,909
Books/AA_Nov2010,AA_Nov2010_P16,.png,0,0,0,19428,21893,13975,16437,904,905
Books/AA_Nov2010,AA_Nov2010_P17,.png,0,0,0,45671,49876,32514,37945,904,905
Books/AA_Nov2010,AA_Nov2010_P18,.png,0,0,0,17302,22133,11954,16779,909,910
Books/AA_Nov2010,AA_Nov2010_P19,.png,0,0,0,15716,21628,30174,36079,909,910
Books/AA_Nov2010,AA_Nov2010_P23,.png,0,0,0,27276,32301,15056,20076,913,914
Books/AA_Nov2010,AA_Nov2010_P24,.png,0,0,0,24575,32404,19262,27082,904,905
Books/AA_Summer2011,AA_Summer2011_P02,.png,0,0,0,41697,50267,4963,13524,910,911
Books/Antarctica2019,Antarctica2019_Front,.png,2019,12,0,36708,40826,33376,38417,923,754
Books/Antarctica2019,Antarctica2019_P04,.png,2019,12,0,53960,56337,12361,15179,855,721
Books/Antarctica2019,Antarctica2019_P05,.png,2019,12,0,16229,18460,54007,56639,852,722
Books/Antarctica2019,Antarctica2019_P05,.png,2019,12,0,61535,64303,47925,51193,852,722
