Directory,Photo,Suffix,Year,Month,Day,Left,Right,Top,Bottom,Width,Height
Berberichs/E01,E01-0075,.jpg,0,0,0,41286,51226,34481,45801,600,631
Berberichs/E01,E01-0096,.jpg,0,0,0,10940,20581,15618,25121,605,600
Berberichs/E02,E02-0166,.jpg,0,0,0,39351,44896,21735,31238,851,600
Berberichs/E02,E02-0173,.jpg,0,0,0,15342,25288,36044,52974,850,600
Berberichs/E04,E04-0373,.jpg,0,0,0,24883,30787,23483,33859,877,600
Berberichs/E05,E05-0452,.jpg,0,0,0,33737,44336,4915,23592,878,600
Berberichs/E05,E05-0454,.jpg,0,0,0,6413,17028,8738,27633,889,600
Berberichs/E05,E05-0455,.jpg,0,0,0,20643,31456,20675,29483,600,878
Berberichs/E07,E07-0605,.jpg,0,0,0,38799,43342,4368,12342,880,600
Berberichs/E08,E08-0753,.jpg,0,0,0,34879,41942,21189,33968,900,600
Berberichs/E08,E08-0756,.jpg,0,0,0,30543,36812,31784,43034,899,600
Berberichs/E12,E12-1158,.jpg,0,0,0,40800,45284,2949,10813,877,600
Berberichs/F08,F08-0789,.jpg,0,0,0,44295,51085,31347,44454,830,600
Berberichs/F12,F12-1198,.jpg,0,0,0,23150,27850,15946,22391,753,600
Berberichs/F13,F13-1260,.jpg,0,0,0,44766,56983,15182,33750,751,600
Berberichs/F13,F13-1276,.jpg,0,0,0,55874,59965,22281,28507,753,600
Berberichs/F15,F15-1462,.jpg,0,0,0,26039,40544,21407,43252,750,600
Berberichs/F16,F16-1551,.jpg,0,0,0,42532,47306,14527,21735,755,600
Berberichs/F16,F16-1569,.jpg,0,0,0,45813,52183,10048,19005,751,600
Berberichs/F17,F17-1622,.jpg,0,0,0,20206,25121,21220,25822,600,769
Berberichs/F21,F21-2001,.jpg,0,0,0,26742,36587,8300,25885,892,600
Berberichs/F21,F21-2002,.jpg,0,0,0,20862,33423,23917,33937,600,896
Books/ArtOHara,ArtOHara_P11,.png,0,0,0,47773,49876,18320,20420,904,905
Books/ArtOHara,ArtOHara_P23,.png,0,0,0,19747,24521,44220,48989,904,905
Books/ArtOHara,ArtOHara_P24,.png,0,0,0,54552,57225,10465,13136,907,908
Books/ArtOHara,ArtOHara_P26,.png,0,0,0,41657,43617,20114,22061,903,909
Books/ArtOHara,ArtOHara_P26,.png,0,0,0,34908,36868,46790,48736,903,909
Books/BobRita60,BobRita60_P12,.png,0,0,0,38372,41317,40972,44783,801,619
Books/BobRita60,BobRita60_P20,.png,0,0,0,48276,52672,43374,49046,805,624
Books/BobRita60,BobRita60_P20,.png,0,0,0,19033,21125,8964,11923,805,624
Books/DaisyAndSteve,DaisyAndSteve_P32,.png,0,0,0,26371,29520,46736,51697,919,693
Books/Egypt2009,Egypt2009_Front,.png,2009,2,0,19905,21097,33068,34533,935,761
Books/Egypt2009,Egypt2009_P12,.png,2009,2,0,51223,58875,43689,53014,925,759
Books/Egypt2009,Egypt2009_P13,.png,2009,2,0,45203,49529,36107,41181,909,775
Books/Egypt2009,Egypt2009_P13,.png,2009,2,0,42897,44915,16235,18603,909,775
Books/Egypt2009,Egypt2009_P13,.png,2009,2,0,17879,19537,42703,44648,909,775
Books/Egypt2009,Egypt2009_P16,.png,2009,2,0,50650,57225,39853,47669,907,763
Books/Egypt2009,Egypt2009_P18,.png,2009,2,0,47805,51322,35652,39872,913,761
Books/Egypt2009,Egypt2009_P19,.png,2009,2,0,32876,34767,32724,35160,911,761
Books/Egypt2009,Egypt2009_P21,.png,2009,2,0,17702,19725,6266,9834,909,755
Books/Egypt2009,Egypt2009_P22,.png,2009,2,0,34894,42680,12494,21675,909,771
Books/Egypt2009,Egypt2009_P23,.png,2009,2,0,40212,42011,36218,38349,911,769
