Directory,Photo,Suffix,Year,Month,Day,Left,Right,Top,Bottom,Width,Height
Berberichs/E02,E02-0171,.jpg,0,0,0,25955,31892,39539,52100,861,600
Berberichs/E08,E08-0756,.jpg,0,0,0,5686,11518,14526,25121,899,600
Berberichs/E13,E13-1251,.jpg,0,0,0,32287,36424,19987,27306,887,600
Berberichs/E13,E13-1252,.jpg,0,0,0,34134,39306,17367,26432,887,600
Books/AA_2010-11,AA_2010-11_P21,.png,0,0,0,46420,51163,38761,43498,912,913
Books/AA_Nov2010,AA_Nov2010_P03,.png,0,0,0,45989,52456,32839,39306,912,912
Books/AA_Summer2011,AA_Summer2011_P05,.png,0,0,0,39075,41526,27612,30063,909,909
Books/AA_Summer2011,AA_Summer2011_P05,.png,0,0,0,9589,11535,9516,11463,909,909
Books/ArtOHara,ArtOHara_P26,.png,0,0,0,20684,22280,13193,14779,903,909
Books/BobRita60,BobRita60_P21,.png,0,0,0,46950,49721,18965,22547,804,622
Books/Caribbean2020,Caribbean2020_Front,.png,2020,3,0,30323,33227,21844,25772,925,684
Books/Caribbean2020,Caribbean2020_P04,.png,2020,3,0,6776,10958,9551,15036,909,693
Books/Caribbean2020,Caribbean2020_P04,.png,2020,3,0,29198,32659,9078,13617,909,693
Books/Caribbean2020,Caribbean2020_P07,.png,2020,3,0,46350,49791,4579,9062,895,687
Books/Caribbean2020,Caribbean2020_P07,.png,2020,3,0,37271,39394,38061,40827,895,687
Books/Caribbean2020,Caribbean2020_P08,.png,2020,3,0,27367,30505,28510,32623,898,685
Books/Caribbean2020,Caribbean2020_P13,.png,2020,3,0,38129,40843,30460,34464,889,676
Books/Caribbean2020,Caribbean2020_P14,.png,2020,3,0,49605,52442,8036,11767,901,685
Books/DaisyAndSteve,DaisyAndSteve_P05,.png,0,0,0,6068,9066,34511,38471,918,695
Books/DaisyAndSteve,DaisyAndSteve_P07,.png,0,0,0,50093,52940,9590,13351,921,697
Books/DaisyAndSteve,DaisyAndSteve_P08,.png,0,0,0,10188,13474,39076,44560,920,695
Books/DaisyAndSteve,DaisyAndSteve_P09,.png,0,0,0,48687,53399,38189,44413,918,695
Books/DaisyAndSteve,DaisyAndSteve_P11,.png,0,0,0,40076,44283,19745,25292,919,697
Books/DaisyAndSteve,DaisyAndSteve_P23,.png,0,0,0,15938,20136,21128,26644,921,701
Books/DaisyAndSteve,DaisyAndSteve_P33,.png,0,0,0,16038,23860,8442,19756,918,693
Books/Fall2014,Fall2014_P08,.png,0,0,0,58476,63770,46281,51169,817,885
Books/Fall2014,Fall2014_P13,.png,0,0,0,9549,12475,41611,44399,851,893
Books/Fall2014,Fall2014_P14,.png,0,0,0,47058,51658,40166,44613,869,899
Books/Fall2014,Fall2014_P15,.png,0,0,0,48272,50850,9913,12319,839,899
Books/Fall2014,Fall2014_P15,.png,0,0,0,11932,14263,47693,50304,839,899
Books/Fall2014,Fall2014_P15,.png,0,0,0,38034,40738,44821,48041,839,899
Books/Fall2014,Fall2014_P19,.png,0,0,0,14203,15901,15641,17234,849,905
Books/Fall2014,Fall2014_P23,.png,0,0,0,42700,44679,20300,22212,861,891
Books/Family2011,Family2011_P01,.png,0,0,0,29944,32168,50573,53166,766,657
Books/Family2011,Family2011_P02,.png,0,0,0,4203,7548,40784,44691,764,654
Books/Family2011,Family2011_P04,.png,0,0,0,48270,49816,8591,10389,763,656
Books/Family2011,Family2011_P17,.png,0,0,0,51999,54826,27972,31268,765,656
Books/Family2011,Family2011_P24,.png,0,0,0,34263,36882,15404,18799,763,656
Books/Family2011,Family2011_P27,.png,0,0,0,14116,22672,8665,18625,766,658
Books/Germany1995,Germany1995_Front,.png,0,0,0,20500,25028,38380,43429,935,885
Books/Germany1995,Germany1995_P01,.png,0,0,0,17003,21601,16692,21264,898,903
Books/Germany1995,Germany1995_P03,.png,0,0,0,6227,9124,10983,13873,905,907
Books/Germany1995,Germany1995_P03,.png,0,0,0,29979,32007,44653,46676,905,907
Books/Germany1995,Germany1995_P04,.png,0,0,0,34514,37311,17928,20887,903,907
Books/Germany1995,Germany1995_P13,.png,0,0,0,25220,29175,15711,19820,903,901
Books/Germany1995,Germany1995_P14,.png,0,0,0,48189,49931,41131,42869,903,905
Books/Germany1995,Germany1995_P15,.png,0,0,0,22106,23672,48999,51000,903,903
Books/Germany1995,Germany1995_P17,.png,0,0,0,39713,43786,16292,20365,901,901
Books/Germany1995,Germany1995_P18,.png,0,0,0,56338,58293,49024,51739,905,905
Books/Germany1995,Germany1995_P20,.png,0,0,0,25674,29068,47258,52045,903,903
Books/Germany1995,Germany1995_P21,.png,0,0,0,29138,30082,44534,45729,903,905
Books/Germany1995,Germany1995_P22,.png,0,0,0,14410,16076,12301,14333,905,903
Books/Germany1995,Germany1995_P22,.png,0,0,0,59017,60537,43145,45032,905,903
Books/Germany1995,Germany1995_P25,.png,0,0,0,46852,48300,21289,22846,905,905
Books/Germany1995,Germany1995_P26,.png,0,0,0,48987,50114,41674,42833,901,905
Books/Germany1995,Germany1995_P27,.png,0,0,0,43059,44951,43617,45504,901,903
Books/Germany1995,Germany1995_P28,.png,0,0,0,35307,36650,47177,49169,903,905
Books/Germany1995,Germany1995_P30,.png,0,0,0,10459,11738,22088,24238,896,899
Books/Germany1995,Germany1995_P30,.png,0,0,0,45054,47176,14579,17276,896,899
Books/Germany1995,Germany1995_P31,.png,0,0,0,48549,51684,37448,40569,899,903
Books/Germany1995,Germany1995_P33,.png,0,0,0,53751,55279,32767,34573,901,907
Books/Germany1995,Germany1995_P38,.png,0,0,0,39750,42514,19942,22435,901,907
Books/Germany1995,Germany1995_P39,.png,0,0,0,11539,14732,9703,12890,903,905
Books/Germany1995,Germany1995_ZBack,.png,0,0,0,46989,51201,21649,25832,887,893
Books/Gisela2015,Gisela2015_Front,.png,0,0,0,32116,36456,18462,23860,755,607
Books/Gisela2015,Gisela2015_P01,.png,0,0,0,30689,35411,18376,23911,694,592
Books/Gisela2015,Gisela2015_P02,.png,0,0,0,49455,53194,37243,41663,701,593
Books/Gisela2015,Gisela2015_P02,.png,0,0,0,16921,20567,14808,19118,701,593
Books/Gisela2015,Gisela2015_P03,.png,0,0,0,49773,53276,20408,24717,711,578
Books/Gisela2015,Gisela2015_P03,.png,0,0,0,20094,23965,10091,14852,711,578
Books/Gisela2015,Gisela2015_P04,.png,0,0,0,15691,18829,22449,26304,710,578
Books/Gisela2015,Gisela2015_P04,.png,0,0,0,41536,43935,20975,23923,710,578
Books/Gisela2015,Gisela2015_P06,.png,0,0,0,22706,25567,17914,21428,710,578
Books/Gisela2015,Gisela2015_P06,.png,0,0,0,43382,46243,47620,51135,710,578
Books/Gisela2015,Gisela2015_P07,.png,0,0,0,45782,49133,12358,17058,710,582
Books/Gisela2015,Gisela2015_P09,.png,0,0,0,11494,13904,17491,20444,707,577
Books/Gisela2015,Gisela2015_P09,.png,0,0,0,48200,50518,13061,15901,707,577
Books/Gisela2015,Gisela2015_P09,.png,0,0,0,39209,40600,47362,49066,707,577
Books/Gisela2015,Gisela2015_P10,.png,0,0,0,2765,6912,31013,36106,711,579
