Directory,Photo,Suffix,Year,Month,Day,Left,Right,Top,Bottom,Width,Height
Berberichs/E01,E01-0043,.jpg,0,0,0,24466,32548,13318,22725,600,620
Berberichs/E01,E01-0076,.jpg,0,0,0,12778,20752,26084,35461,600,608
Berberichs/E02,E02-0170,.jpg,0,0,0,34007,35866,25231,28398,846,600
Berberichs/E02,E02-0173,.jpg,0,0,0,23130,31688,32221,46857,850,600
Berberichs/E06,E06-0504,.jpg,0,0,0,40597,50320,20862,38119,883,600
Berberichs/E06,E06-0505,.jpg,0,0,0,48717,58747,15728,33204,869,600
Berberichs/E06,E06-0506,.jpg,0,0,0,48189,56485,19223,33750,869,600
Berberichs/E12,E12-1134,.jpg,0,0,0,48823,51881,31768,34285,600,885
Berberichs/E12,E12-1135,.jpg,0,0,0,35388,42270,24436,30138,600,885
Berberichs/E12,E12-1137,.jpg,0,0,0,19209,24307,19114,28070,887,600
Berberichs/E12,E12-1144,.jpg,0,0,0,46652,53242,32003,43689,885,600
Berberichs/E13,E13-1251,.jpg,0,0,0,16254,21426,19660,28944,887,600
Berberichs/E13,E13-1252,.jpg,0,0,0,13816,20613,16820,28835,887,600
Berberichs/E14,E14-1359,.jpg,0,0,0,44673,52266,16820,30364,889,600
Berberichs/E14,E14-1364,.jpg,1997,12,27,61861,63991,27197,31020,892,600
Berberichs/E14,E14-1371,.jpg,1997,12,27,18873,22365,15182,21189,882,600
Berberichs/E15,E15-1415,.jpg,0,0,0,27511,35339,22063,35826,879,600
Berberichs/F02,F02-0124,.jpg,0,0,0,36761,42965,19551,29927,845,600
Berberichs/F09,F09-0859,.jpg,0,0,0,51218,55046,35061,41614,856,600
Berberichs/F09,F09-0861,.jpg,0,0,0,9504,15253,27743,38119,855,600
Berberichs/F09,F09-0869,.jpg,0,0,0,20474,28462,7645,21845,845,600
Berberichs/F10,F10-0904,.jpg,0,0,0,24585,33262,13871,28835,861,600
Berberichs/F14,F14-1316,.jpg,0,0,0,33549,36592,38883,43471,754,600
Berberichs/F14,F14-1323,.jpg,0,0,0,14610,19508,29599,38884,776,600
Berberichs/F14,F14-1328,.jpg,0,0,0,52143,57583,35716,42816,783,600
Berberichs/F14,F14-1339,.jpg,0,0,0,83,8921,20861,37245,786,600
Berberichs/F16,F16-1592,.jpg,0,0,0,18699,27123,24903,40194,778,600
Berberichs/F17,F17-1624,.jpg,0,0,0,25289,32547,23264,36153,894,600
Berberichs/F17,F17-1634,.jpg,0,0,0,41456,45653,27087,34514,890,600
Berberichs/F17,F17-1635,.jpg,0,0,0,46008,49749,25558,32112,876,600
Berberichs/F17,F17-1636,.jpg,0,0,0,15235,25076,6881,24575,899,600
Berberichs/F17,F17-1647,.jpg,0,0,0,37288,41472,16056,23264,877,600
Berberichs/F17,F17-1669,.jpg,0,0,0,29118,36118,17476,29927,880,600
Berberichs/F17,F17-1677,.jpg,0,0,0,15634,22648,22500,35170,897,600
Berberichs/F17,F17-1687,.jpg,0,0,0,42176,46350,24466,31893,895,600
Berberichs/F19,F19-1854,.jpg,0,0,0,28287,33027,23264,31565,885,600
Berberichs/F19,F19-1898,.jpg,0,0,0,27732,35540,19333,33313,898,600
Berberichs/F19,F19-1899,.jpg,0,0,0,14963,23265,20475,27153,600,893
Berberichs/F20,F20-1903,.jpg,0,0,0,43885,54526,23919,43034,893,600
Berberichs/F20,F20-1999,.jpg,0,0,0,38283,44567,11140,22391,897,600
Berberichs/F21,F21-2000,.jpg,0,0,0,25979,33024,21845,34406,893,600
Books/AA_Summer2011,AA_Summer2011_P05,.png,0,0,0,54576,56883,27756,30063,909,909
Books/AA_Summer2011,AA_Summer2011_P05,.png,0,0,0,28405,30135,9516,11247,909,909
Books/AA_Summer2011,AA_Summer2011_P05,.png,0,0,0,25738,27756,42825,44843,909,909
Books/ArtOHara,ArtOHara_P05,.png,0,0,0,9620,20326,41618,52312,906,907
Books/ArtOHara,ArtOHara_P05,.png,0,0,0,15262,21917,4552,11199,906,907
Books/ArtOHara,ArtOHara_P05,.png,0,0,0,41375,44340,14740,17702,906,907
Books/ArtOHara,ArtOHara_P08,.png,0,0,0,54178,56131,6727,8680,906,906
Books/ArtOHara,ArtOHara_P13,.png,0,0,0,19219,23525,4299,8598,624,625
Books/ArtOHara,ArtOHara_P15,.png,0,0,0,52462,54031,5221,7571,906,907
Books/ArtOHara,ArtOHara_P17,.png,0,0,0,53757,56430,35077,37747,907,908
Books/ArtOHara,ArtOHara_P22,.png,0,0,0,12758,20588,7531,15352,904,905
Books/ArtOHara,ArtOHara_P22,.png,0,0,0,4059,8482,37800,42217,904,905
Books/ArtOHara,ArtOHara_P23,.png,0,0,0,53455,57578,47326,51444,904,905
Books/ArtOHara,ArtOHara_P24,.png,0,0,0,25866,27962,15445,17538,907,908
Books/ArtOHara,ArtOHara_P24,.png,0,0,0,23093,24662,47780,50652,907,908
Books/ArtOHara,ArtOHara_P24,.png,0,0,0,55687,58127,50391,53263,907,908
Books/ArtOHara,ArtOHara_P25,.png,0,0,0,16545,22470,10609,16528,907,908
Books/ArtOHara,ArtOHara_P26,.png,0,0,0,28376,29973,12833,14419,903,909
Books/ArtOHara,ArtOHara_P26,.png,0,0,0,3504,10776,44560,53089,903,909
Books/ArtOHara,ArtOHara_ZBack,.png,0,0,0,33502,38938,10641,16072,892,893
Books/BobRita60,BobRita60_P12,.png,0,0,0,55471,57476,30544,33720,801,619
Books/BobRita60,BobRita60_P14,.png,0,0,0,32031,33584,47159,49177,802,617
