Directory,Photo,Suffix,Year,Month,Day,Left,Right,Top,Bottom,Width,Height
Berberichs/E06,E06-0582,.jpg,0,0,0,30904,34922,29599,36918,897,600
Berberichs/E08,E08-0756,.jpg,0,0,0,20557,26461,37682,48277,899,600
Books/AA_Nov2010,AA_Nov2010_P11,.png,0,0,0,33917,38660,7249,11987,912,913
Books/AA_Summer2011,AA_Summer2011_P03,.png,0,0,0,30319,34207,13092,16977,910,911
Books/AA_Summer2011,AA_Summer2011_P09,.png,0,0,0,36656,39681,24314,27335,910,911
Books/AA_Summer2011,AA_Summer2011_P10,.png,0,0,0,28014,32407,43665,48054,910,911
Books/AA_Summer2011,AA_Summer2011_P12,.png,0,0,0,18192,20341,8451,10600,915,915
Books/AA_Summer2011,AA_Summer2011_P13,.png,0,0,0,45401,48906,14916,19562,915,915
Books/AA_Summer2011,AA_Summer2011_P18,.png,0,0,0,49438,55978,36249,42780,912,913
Books/ArtOHara,ArtOHara_P21,.png,0,0,0,33091,36480,9012,12400,909,909
Books/ArtOHara,ArtOHara_P21,.png,0,0,0,12833,14995,46213,48375,909,909
Books/ArtOHara,ArtOHara_P24,.png,0,0,0,8020,10260,13135,15373,907,908
Books/ArtOHara,ArtOHara_P26,.png,0,0,0,28158,29610,11391,12833,903,909
Books/BobRita60,BobRita60_P13,.png,0,0,0,19913,22198,45960,48938,803,616
Books/BobRita60,BobRita60_P21,.png,0,0,0,42549,45238,11273,14750,804,622
Books/Caribbean2020,Caribbean2020_Front,.png,2020,3,0,21466,24938,20982,25677,925,684
Books/Caribbean2020,Caribbean2020_P05,.png,2020,3,0,19696,25408,9783,17191,895,690
Books/Caribbean2020,Caribbean2020_P07,.png,2020,3,0,9299,13912,3434,9443,895,687
Books/Caribbean2020,Caribbean2020_P07,.png,2020,3,0,10837,13180,33673,36726,895,687
Books/Caribbean2020,Caribbean2020_P08,.png,2020,3,0,57069,59259,6218,9089,898,685
Books/Caribbean2020,Caribbean2020_P13,.png,2020,3,0,53371,55951,27144,30537,889,676
Books/Caribbean2020,Caribbean2020_P20,.png,2020,3,0,25144,30635,38371,45589,907,690
Books/Caribbean2020,Caribbean2020_P20,.png,2020,3,0,53612,61127,36946,46824,907,690
Books/Caribbean2020,Caribbean2020_P20,.png,2020,3,0,45592,52601,6268,15481,907,690
Books/Caribbean2020,Caribbean2020_P21,.png,2020,3,0,35024,42597,26900,36821,900,687
Books/Caribbean2020,Caribbean2020_P26,.png,2020,3,0,25946,28393,37971,41152,884,680
Books/Family2011,Family2011_P07,.png,0,0,0,29345,31398,38802,41196,766,657
Books/Family2011,Family2011_P10,.png,0,0,0,30229,34782,36292,41601,766,657
Books/Family2011,Family2011_P11,.png,0,0,0,19249,21131,37292,39480,766,659
Books/Family2011,Family2011_P13,.png,0,0,0,11292,12576,27072,28571,766,656
Books/Family2011,Family2011_P24,.png,0,0,0,52909,54712,36763,38861,763,656
Books/Family2011,Family2011_P25,.png,0,0,0,36713,38429,37377,39381,764,654
Books/Germany1995,Germany1995_P01,.png,0,0,0,52033,56412,25255,29610,898,903
Books/Germany1995,Germany1995_P07,.png,0,0,0,55661,58631,11575,15752,903,907
Books/Germany1995,Germany1995_P09,.png,0,0,0,49861,55329,37303,42746,899,903
Books/Germany1995,Germany1995_P10,.png,0,0,0,53387,55642,19087,21337,901,903
Books/Germany1995,Germany1995_P12,.png,0,0,0,43132,48005,41657,46520,901,903
Books/Germany1995,Germany1995_P13,.png,0,0,0,10015,11684,15929,17602,903,901
Books/Germany1995,Germany1995_P15,.png,0,0,0,43109,46447,17054,20393,903,903
Books/Germany1995,Germany1995_P16,.png,0,0,0,25239,27415,45865,48824,905,905
Books/Germany1995,Germany1995_P17,.png,0,0,0,13751,16622,55178,59094,901,901
Books/Germany1995,Germany1995_P18,.png,0,0,0,50581,51957,50255,52102,905,905
Books/Germany1995,Germany1995_P19,.png,0,0,0,23262,26387,44212,48215,903,901
Books/Germany1995,Germany1995_P21,.png,0,0,0,38827,40423,46055,47648,903,905
Books/Germany1995,Germany1995_P21,.png,0,0,0,14659,16329,17814,19479,903,905
Books/Germany1995,Germany1995_P21,.png,0,0,0,51237,52834,11912,13759,903,905
Books/Germany1995,Germany1995_P22,.png,0,0,0,26322,28096,13280,15313,905,903
Books/Germany1995,Germany1995_P22,.png,0,0,0,48553,49966,41803,43145,905,903
Books/Germany1995,Germany1995_P23,.png,0,0,0,47645,50089,46997,49782,901,903
Books/Germany1995,Germany1995_P25,.png,0,0,0,48770,49965,22991,24729,905,905
Books/Germany1995,Germany1995_P26,.png,0,0,0,48987,49933,42905,44245,901,905
Books/Germany1995,Germany1995_P28,.png,0,0,0,47174,49568,24259,26648,903,905
Books/Germany1995,Germany1995_P28,.png,0,0,0,42964,44270,49133,50436,903,905
Books/Germany1995,Germany1995_P29,.png,0,0,0,19226,20094,13752,14950,905,903
Books/Germany1995,Germany1995_P30,.png,0,0,0,48053,50101,16256,18297,896,899
Books/Germany1995,Germany1995_P30,.png,0,0,0,12214,13531,24566,26316,896,899
Books/Germany1995,Germany1995_P31,.png,0,0,0,41661,44686,17055,20720,899,903
Books/Germany1995,Germany1995_P32,.png,0,0,0,40714,44488,53013,56821,903,895
Books/Germany1995,Germany1995_P33,.png,0,0,0,50914,52369,35477,37211,901,907
Books/Germany1995,Germany1995_P34,.png,0,0,0,13107,15062,39262,41222,905,903
Books/Germany1995,Germany1995_P38,.png,0,0,0,53024,54697,21098,22760,901,907
Books/Germany1995,Germany1995_ZBack,.png,0,0,0,16771,22460,35886,41537,887,893
Books/Gisela2015,Gisela2015_P17,.png,0,0,0,25234,27822,7936,11111,709,578
Books/Gisela2015,Gisela2015_P17,.png,0,0,0,44830,49174,8163,13492,709,578
Books/Gisela2015,Gisela2015_P17,.png,0,0,0,23015,25418,30499,33447,709,578
Books/Gisela2015,Gisela2015_P18,.png,0,0,0,24163,27641,38595,42774,716,596
Books/GiselaJohnson,GiselaJohnson_P18,.png,0,0,0,21500,24233,30021,32730,887,895
Books/GiselaJohnson,GiselaJohnson_P21,.png,0,0,0,60669,63987,11974,15240,889,903
Books/GiselaJohnson,GiselaJohnson_P23,.png,0,0,0,55812,58410,7837,10378,883,903
Books/GiselaJohnson,GiselaJohnson_P33,.png,0,0,0,32805,35127,6472,8752,875,891
Books/GiselaJohnson,GiselaJohnson_P34,.png,0,0,0,14448,16512,33605,35646,889,899
Books/GiselaJohnson,GiselaJohnson_P35,.png,0,0,0,56895,61031,8267,12619,857,905
Books/GiselaJohnson,GiselaJohnson_P36,.png,0,0,0,10444,13828,4446,7800,891,899
Books/GiselaJohnson,GiselaJohnson_P41,.png,0,0,0,31123,34119,32731,35713,897,901
Books/GiselaJohnson,GiselaJohnson_P44,.png,0,0,0,18258,20551,43254,45778,883,895
Books/GiselaJohnson,GiselaJohnson_P45,.png,0,0,0,34345,36693,9631,11948,893,905
Books/GiselaJohnson,GiselaJohnson_P48,.png,0,0,0,21499,24750,5419,8959,887,907
Books/GiselaJohnson,GiselaJohnson_P49,.png,0,0,0,59018,61288,7257,9507,895,903
Books/Hawaii2001,Hawaii2001_Front,.png,2001,6,0,43256,44847,32003,33981,906,729
Books/Hawaii2001,Hawaii2001_P02,.png,2001,6,0,13269,14563,14204,15771,810,669
Books/Hawaii2001,Hawaii2001_P03,.png,2001,6,0,48284,50380,40764,43299,813,672
Books/Hawaii2001,Hawaii2001_P04,.png,2001,6,0,43501,45358,46208,48464,812,668
Books/Hawaii2001,Hawaii2001_P05,.png,2001,6,0,15655,18058,42819,46126,804,673
Books/Hawaii2001,Hawaii2001_P06,.png,2001,6,0,24392,26750,11897,14772,806,661
Books/Hawaii2001,Hawaii2001_P07,.png,2001,6,0,48481,50349,41045,43326,807,661
Books/Hawaii2001,Hawaii2001_P07,.png,2001,6,0,39710,41984,12987,15763,807,661
Books/Hawaii2001,Hawaii2001_P07,.png,2001,6,0,18434,20058,43227,45210,807,661
Books/Hawaii2001,Hawaii2001_P08,.png,2001,6,0,21038,22812,45098,47259,813,667
Books/Hawaii2001,Hawaii2001_P09,.png,2001,6,0,15958,18874,47007,50555,809,665
Books/Hawaii2001,Hawaii2001_P10,.png,2001,6,0,45060,49735,45165,50873,813,666
Books/Hawaii2001,Hawaii2001_P11,.png,2001,6,0,9351,11493,45952,49956,814,668
Books/Hawaii2001,Hawaii2001_P12,.png,2001,6,0,13673,16990,43722,47769,810,664
Books/Hawaii2001,Hawaii2001_P13,.png,2001,6,0,9919,12033,13616,16162,806,669
Books/Hawaii2001,Hawaii2001_P13,.png,2001,6,0,42809,44475,13273,15428,806,669
Books/Hawaii2001,Hawaii2001_P15,.png,2001,6,0,47757,50504,44980,48356,811,660
Books/Hawaii2001,Hawaii2001_P17,.png,2001,6,0,43113,45636,6092,9486,804,666
Books/Hawaii2001,Hawaii2001_P19,.png,2001,6,0,20220,21682,39711,41472,807,670
Books/Hawaii2001,Hawaii2001_P19,.png,2001,6,0,41253,42390,10172,11542,807,670
Books/Hawaii2001,Hawaii2001_P20,.png,2001,6,0,3207,5685,28895,32637,799,669
Books/Hawaii2001,Hawaii2001_P21,.png,2001,6,0,14960,18782,42548,47146,806,670
Books/Hawaii2001,Hawaii2001_P22,.png,2001,6,0,12261,15989,16013,21757,812,669
Books/Hawaii2001,Hawaii2001_P23,.png,2001,6,0,18704,23955,11139,18189,802,663
Books/Hawaii2001,Hawaii2001_P24,.png,2001,6,0,17957,19460,47432,50391,814,669
Books/Hawaii2001,Hawaii2001_P25,.png,2001,6,0,49478,51294,42732,45953,804,671
Books/Hawaii2001,Hawaii2001_P25,.png,2001,6,0,6393,8791,18189,22018,804,671
Books/Hawaii2001,Hawaii2001_P26,.png,2001,6,0,48581,50575,9312,12619,810,663
Books/Hawaii2001,Hawaii2001_P28,.png,2001,6,0,54091,55820,42642,44705,796,667
Books/Hawaii2001,Hawaii2001_P28,.png,2001,6,0,10132,12319,9486,13490,796,667
Books/Hawaii2001,Hawaii2001_P30,.png,2001,6,0,54107,55008,5793,7449,800,673
Books/Hawaii2001,Hawaii2001_P31,.png,2001,6,0,12661,15322,40121,43863,807,667
Books/Hawaii2001,Hawaii2001_P32,.png,2001,6,0,51837,53395,11582,13463,799,662
Books/Hawaii2001,Hawaii2001_P32,.png,2001,6,0,16978,18865,12671,14948,799,662
Books/Hawaii2001,Hawaii2001_P33,.png,2001,6,0,5860,10505,41774,48128,805,661
Books/Hawaii2001,Hawaii2001_P33,.png,2001,6,0,38994,40664,13781,16210,805,661
Books/Hawaii2001,Hawaii2001_P35,.png,2001,6,0,44919,49115,41949,47954,878,730
Books/Hawaii2001,Hawaii2001_P36,.png,2001,6,0,53772,56216,13197,16090,858,725
Books/Hawaii2001,Hawaii2001_P38,.png,2001,6,0,14335,17141,43931,47275,864,725
Books/Hawaii2001,Hawaii2001_P39,.png,2001,6,0,38040,39923,8658,10937,870,719
Books/Hawaii2001,Hawaii2001_P40,.png,2001,6,0,44357,45376,45983,47943,868,719
Books/Hawaii2001,Hawaii2001_P41,.png,2001,6,0,46671,52984,10194,17840,872,720
Books/Hawaii2001,Hawaii2001_P43,.png,2001,6,0,47983,49716,44359,46458,870,718
Books/Hawaii2001,Hawaii2001_ZBack,.png,2001,6,0,35498,37278,28694,31211,828,716
Books/Hawaii2016,Hawaii2016_Front,.png,0,0,0,16853,19709,34627,38538,941,687
Books/Hawaii2016,Hawaii2016_P06,.png,0,0,0,10586,12746,10557,13411,910,689
Books/Hawaii2016,Hawaii2016_P10,.png,0,0,0,37530,41971,31683,37529,915,695
Books/JacksonHole2008,JacksonHole2008_Front,.png,2006,12,0,45988,48640,24285,27529,865,707
Books/JacksonHole2008,JacksonHole2008_P03,.png,2006,12,0,22382,24364,39867,42249,893,743
Books/JacksonHole2008,JacksonHole2008_P04,.png,2006,12,0,7963,12785,38713,44442,897,755
Books/JacksonHole2008,JacksonHole2008_P07,.png,2006,12,0,18919,21437,10791,14447,899,743
Books/JacksonHole2008,JacksonHole2008_P11,.png,2006,12,0,11874,14620,37662,40926,883,743
Books/JacksonHole2008,JacksonHole2008_P16,.png,2008,1,0,15666,17579,14074,16361,891,745
Books/JacksonHole2008,JacksonHole2008_P18,.png,2008,1,0,45151,46758,44655,46585,897,747
Books/JacksonHole2008,JacksonHole2008_P19,.png,2008,1,0,47334,48557,12271,14708,899,743
Books/JacksonHole2008,JacksonHole2008_P20,.png,2008,1,0,28464,30303,10467,12667,891,745
Books/JacksonHole2008,JacksonHole2008_P21,.png,2008,1,0,32876,35053,6266,9225,893,745
Books/JacksonHole2008,JacksonHole2008_P21,.png,2008,1,0,25545,27360,27154,30461,893,745
Books/JacksonHole2008,JacksonHole2008_P22,.png,2008,1,0,49060,51319,7099,9782,899,757
Books/JacksonHole2008,JacksonHole2008_P22,.png,2008,1,0,17593,20085,39251,43429,899,757
Books/JacksonHole2008,JacksonHole2008_ZBack,.png,2008,1,0,47180,48932,6693,8691,823,705
Books/JacksonHole2008,JacksonHole2008_ZBack,.png,2008,1,0,22256,24048,5391,7157,823,705
Books/JeanneOHara,JeanneOHara_P11,.png,0,0,0,17327,20660,5698,8986,885,897
Books/JeanneOHara,JeanneOHara_P11,.png,0,0,0,49688,53761,5917,9936,885,897
Books/JeanneOHara,JeanneOHara_P15,.png,0,0,0,34826,36699,22626,24456,875,895
Books/JeanneOHara,JeanneOHara_P15,.png,0,0,0,31906,33628,40858,42542,875,895
Books/JeanneOHara,JeanneOHara_P26,.png,0,0,0,9340,11507,7547,9652,877,903
Books/JoyceMcClure,JoyceMcClure_P10,.png,0,0,0,50132,52057,43593,45476,885,905
Books/LanceShelby,LanceShelby_Front,.png,0,0,0,35390,37908,31123,34603,943,682
Books/LanceShelby,LanceShelby_P02,.png,0,0,0,8255,10283,36987,39643,906,685
Books/LanceShelby,LanceShelby_P02,.png,0,0,0,44969,49458,8820,14700,906,685
Books/LanceShelby,LanceShelby_P02,.png,0,0,0,17089,19624,38410,41729,906,685
Books/LanceShelby,LanceShelby_P02,.png,0,0,0,13252,15786,4172,7492,906,685
Books/LanceShelby,LanceShelby_P03,.png,0,0,0,32302,34375,3134,5888,915,690
Books/LanceShelby,LanceShelby_P03,.png,0,0,0,17008,20939,42835,48059,915,690
Books/LanceShelby,LanceShelby_P03,.png,0,0,0,52599,54457,33622,36091,915,690
Books/LanceShelby,LanceShelby_P04,.png,0,0,0,25696,29357,4375,9226,913,689
Books/LanceShelby,LanceShelby_P05,.png,0,0,0,26055,32659,12139,20865,913,691
Books/LanceShelby,LanceShelby_P10,.png,0,0,0,53358,54862,15278,17296,915,682
Books/LanceShelby,LanceShelby_P11,.png,0,0,0,26466,31374,1827,9399,909,686
Books/LanceShelby,LanceShelby_P12,.png,0,0,0,31905,33916,4190,6858,912,688
Books/LanceShelby,LanceShelby_P12,.png,0,0,0,16239,17604,37339,39149,912,688
Books/LanceShelby,LanceShelby_P13,.png,0,0,0,13595,16689,4572,8668,911,688
Books/LanceShelby,LanceShelby_P16,.png,0,0,0,48629,52658,4470,9796,911,689
Books/LanceShelby,LanceShelby_P16,.png,0,0,0,19494,21509,35953,38617,911,689
Books/LanceShelby,LanceShelby_P16,.png,0,0,0,20501,22516,8275,10938,911,689
Books/LanceShelby,LanceShelby_P22,.png,0,0,0,27398,29916,18779,22070,885,677
Books/LanceShelby,LanceShelby_P23,.png,0,0,0,25959,30373,2702,8396,903,687
Books/LanceShelby,LanceShelby_P23,.png,0,0,0,11878,18560,1305,10791,903,687
Books/LanceShelby,LanceShelby_P24,.png,0,0,0,48507,57593,10585,22807,916,681
Books/LanceShelby,LanceShelby_P25,.png,0,0,0,30252,36648,6923,15364,912,691
Books/LanceShelby,LanceShelby_P26,.png,0,0,0,52846,55008,13886,16740,909,689
Books/LanceShelby,LanceShelby_P26,.png,0,0,0,17555,19535,11140,14186,909,689
Books/LanceShelby,LanceShelby_P29,.png,0,0,0,46411,52428,14807,22832,915,686
Books/LanceShelby,LanceShelby_P30,.png,0,0,0,7370,8887,37200,39224,911,687
Books/LanceShelby,LanceShelby_P30,.png,0,0,0,51445,55708,9926,15612,911,687
Books/LanceShelby,LanceShelby_P31,.png,0,0,0,18744,22133,10542,15006,909,690
Books/LanceShelby,LanceShelby_P32,.png,0,0,0,51676,54780,11049,15145,908,688
Books/LanceShelby,LanceShelby_P33,.png,0,0,0,19610,22493,8635,12473,909,683
Books/LanceShelby,LanceShelby_P34,.png,0,0,0,20642,24034,9634,14117,908,687
Books/LanceShelby,LanceShelby_P34,.png,0,0,0,47996,49873,22989,25469,908,687
Books/LanceShelby,LanceShelby_P36,.png,0,0,0,32586,34465,4565,7038,907,689
Books/LanceShelby,LanceShelby_P36,.png,0,0,0,59899,61994,3899,6658,907,689
Books/LanceShelby,LanceShelby_P36,.png,0,0,0,51445,54118,41090,44609,907,689
Books/LanceShelby,LanceShelby_P36,.png,0,0,0,18063,19797,38331,40614,907,689
Books/LanceShelby,LanceShelby_P37,.png,0,0,0,18713,21242,41089,44418,907,689
Books/LanceShelby,LanceShelby_P37,.png,0,0,0,49711,51590,37285,39758,907,689
Books/LanceShelby,LanceShelby_P37,.png,0,0,0,24638,26517,6467,8940,907,689
Books/LanceShelby,LanceShelby_P38,.png,0,0,0,45258,47431,37598,40469,905,685
Books/LanceShelby,LanceShelby_P38,.png,0,0,0,20565,22375,4592,6984,905,685
Books/LanceShelby,LanceShelby_P38,.png,0,0,0,55252,58004,4879,8514,905,685
Books/LanceShelby,LanceShelby_P40,.png,0,0,0,38080,40290,42314,45288,914,688
Books/LanceShelby,LanceShelby_P40,.png,0,0,0,14262,19253,7580,14296,914,688
Books/LanceShelby,LanceShelby_P40,.png,0,0,0,39934,47279,7483,17367,914,688
Books/LanceShelby,LanceShelby_P41,.png,0,0,0,10293,12251,5091,7637,904,695
Books/LanceShelby,LanceShelby_P41,.png,0,0,0,53501,55965,3111,6317,904,695
Books/LanceShelby,LanceShelby_P43,.png,0,0,0,18127,20933,5413,9117,911,690
Books/LanceShelby,LanceShelby_P43,.png,0,0,0,17336,21724,44165,49958,911,690
Books/LanceShelby,LanceShelby_P44,.png,0,0,0,16832,24425,10371,20468,915,688
Books/LanceShelby,LanceShelby_P44,.png,0,0,0,50542,57220,36205,45517,915,688
Books/LanceShelby,LanceShelby_P46,.png,0,0,0,10635,13653,25411,29423,912,686
Books/LanceShelby,LanceShelby_P48,.png,0,0,0,6152,12305,45932,54196,916,682
Books/LanceShelby,LanceShelby_P49,.png,0,0,0,32043,35516,43976,48555,906,687
Books/LanceShelby,LanceShelby_P50,.png,0,0,0,20353,22518,8901,11742,908,687
Books/LanceShelby,LanceShelby_ZBack,.png,0,0,0,27827,32697,18712,26544,865,675
Books/MaryHarryOHara,MaryHarryOHara_P23,.png,0,0,0,6234,7901,25929,28113,904,690
Books/NovaScotia2005,NovaScotia2005_P07,.png,2005,7,0,20365,21966,15654,17599,901,741
Books/NovaScotia2005,NovaScotia2005_P11,.png,2005,7,0,47522,49645,10439,12983,895,747
Books/NovaScotia2005,NovaScotia2005_P11,.png,2005,7,0,10690,12520,6842,9036,895,747
Books/NovaScotia2005,NovaScotia2005_P12,.png,2005,7,0,21307,23211,9099,11374,895,749
Books/NovaScotia2005,NovaScotia2005_P15,.png,2005,7,0,19903,23663,13708,18219,889,741
Books/NovaScotia2005,NovaScotia2005_P16,.png,2005,7,0,18650,20788,7766,10297,889,751
Books/NovaScotia2005,NovaScotia2005_P18,.png,2005,7,0,15778,16879,11435,12754,893,745
Books/NovaScotia2005,NovaScotia2005_P22,.png,2005,7,0,9592,11129,7025,8892,895,737
Books/NovaScotia2005,NovaScotia2005_ZBack,.png,2005,7,0,41025,45022,9500,14162,869,745
Books/RobinRobert,RobinRobert_P08,.png,0,0,0,52917,54832,13316,15752,913,693
Books/RobinRobert,RobinRobert_P21,.png,0,0,0,53161,56902,5940,10844,911,695
Books/RobinRobert,RobinRobert_P25,.png,0,0,0,4706,7202,35158,38439,919,699
Books/RobinRobert,RobinRobert_P28,.png,0,0,0,46963,48813,23558,25989,921,701
Books/RobinRobert,RobinRobert_P31,.png,0,0,0,4117,6034,4526,7072,923,695
Books/RobinRobert,RobinRobert_P33,.png,0,0,0,28158,30158,6111,8744,917,697
Books/RobinRobert,RobinRobert_P33,.png,0,0,0,8218,11005,15984,19650,917,697
Books/RobinRobert,RobinRobert_P35,.png,0,0,0,50207,51640,10624,12505,915,697
Books/RobinRobert,RobinRobert_P39,.png,0,0,0,59641,61132,14667,16642,923,697
Books/Russia2006,Russia2006_P01,.png,2006,6,0,20284,21598,44391,45922,798,685
Books/Russia2006,Russia2006_P04,.png,2006,6,0,21672,28920,10442,19264,886,728
Books/Russia2006,Russia2006_P04,.png,2006,6,0,34099,35800,36548,38618,886,728
Books/Russia2006,Russia2006_P04,.png,2006,6,0,50963,52812,12242,14493,886,728
Books/Russia2006,Russia2006_P04,.png,2006,6,0,13521,15453,47693,50130,886,728
Books/Russia2006,Russia2006_P05,.png,2006,6,0,51718,55418,37448,41859,868,728
Books/Russia2006,Russia2006_P05,.png,2006,6,0,39109,42280,5311,9091,868,728
Books/Russia2006,Russia2006_P06,.png,2006,6,0,46414,48063,43265,45265,874,721
Books/Russia2006,Russia2006_P09,.png,2006,6,0,18495,20931,14623,17512,861,726
Books/Russia2006,Russia2006_P09,.png,2006,6,0,7078,10732,39718,44051,861,726
Books/Russia2006,Russia2006_P10,.png,2006,6,0,50181,52577,14120,17017,875,724
Books/Russia2006,Russia2006_P10,.png,2006,6,0,14904,19398,8780,14210,875,724
Books/Russia2006,Russia2006_P11,.png,2006,6,0,60511,61786,37500,39032,874,727
Books/Russia2006,Russia2006_P11,.png,2006,6,0,23994,28868,1172,7031,874,727
Books/Russia2006,Russia2006_P12,.png,2006,6,0,21537,22921,8773,10385,852,732
Books/Russia2006,Russia2006_P15,.png,2006,6,0,8332,10809,4570,7586,873,717
Books/Russia2006,Russia2006_P16,.png,2006,6,0,47214,49531,12793,15491,871,725
Books/Russia2006,Russia2006_P20,.png,2006,6,0,47014,48663,10193,12196,874,720
Books/Russia2006,Russia2006_P20,.png,2006,6,0,4423,5773,40959,42597,874,720
Books/Russia2006,Russia2006_P21,.png,2006,6,0,3992,16195,0,14492,870,719
Books/Russia2006,Russia2006_P21,.png,2006,6,0,46628,49038,11301,14218,870,719
Books/Russia2006,Russia2006_P22,.png,2006,6,0,55580,57918,41104,43868,869,735
Books/Russia2006,Russia2006_P23,.png,2006,6,0,55353,60481,42962,49151,869,720
Books/Russia2006,Russia2006_P23,.png,2006,6,0,12443,13951,16019,17839,869,720
Books/Russia2006,Russia2006_P24,.png,2006,6,0,8248,11472,14653,18518,874,729
Books/Russia2006,Russia2006_P24,.png,2006,6,0,51212,54437,5573,9439,874,729
Books/Russia2006,Russia2006_P24,.png,2006,6,0,1499,6523,41172,47196,874,729
Books/Russia2006,Russia2006_P24,.png,2006,6,0,49788,51588,37037,39195,874,729
Books/Russia2006,Russia2006_P25,.png,2006,6,0,51327,53112,7491,9658,881,726
Books/Russia2006,Russia2006_P26,.png,2006,6,0,8687,10335,10295,12265,875,732
Books/Russia2006,Russia2006_P27,.png,2006,6,0,4977,9728,15865,21544,869,727
Books/Russia2006,Russia2006_P27,.png,2006,6,0,58219,60708,41736,44711,869,727
Books/Russia2006,Russia2006_P27,.png,2006,6,0,58144,60632,15685,18660,869,727
Books/Russia2006,Russia2006_P28,.png,2006,6,0,18029,20423,12582,15478,876,724
Books/Russia2006,Russia2006_P30,.png,2006,6,0,59583,62953,38555,43689,881,726
Books/Russia2006,Russia2006_P31,.png,2006,6,0,43065,44788,41927,44024,875,719
Books/Russia2006,Russia2006_P31,.png,2006,6,0,47409,48608,9479,10937,875,719
Books/Russia2006,Russia2006_P35,.png,2006,6,0,50227,52843,9929,12998,852,726
Books/Russia2006,Russia2006_P36,.png,2006,6,0,46917,48343,12816,14543,873,721
Books/Russia2006,Russia2006_P39,.png,2006,6,0,49358,50492,8203,9570,867,719
Books/Russia2006,Russia2006_P40,.png,2006,6,0,56996,60516,40266,44538,875,721
Books/Russia2006,Russia2006_P40,.png,2006,6,0,18200,19473,41538,43084,875,721
Books/Russia2006,Russia2006_P40,.png,2006,6,0,27262,28835,9543,11452,875,721
Books/Russia2006,Russia2006_P41,.png,2006,6,0,12986,15313,5841,8670,873,718
Books/Russia2006,Russia2006_P41,.png,2006,6,0,39421,42139,7920,12619,873,718
Books/Russia2006,Russia2006_P42,.png,2006,6,0,26782,31495,45601,51335,876,720
Books/Russia2006,Russia2006_P42,.png,2006,6,0,45485,50871,9011,15564,876,720
