Directory,Photo,Suffix,Year,Month,Day,Left,Right,Top,Bottom,Width,Height
Berberichs/E06,E06-0582,.jpg,0,0,0,42959,46465,22718,28507,897,600
Berberichs/E08,E08-0756,.jpg,0,0,0,40093,45488,32985,42815,899,600
Berberichs/E13,E13-1252,.jpg,0,0,0,44108,50167,33531,44454,887,600
Berberichs/F07,F07-0699,.jpg,0,0,0,26774,32145,37791,46748,842,600
Berberichs/F19,F19-1854,.jpg,0,0,0,15550,20067,41942,49915,885,600
Books/AA_2010-11,AA_2010-11_P02,.png,0,0,0,20623,25222,40412,45006,912,913
Books/AA_2010-11,AA_2010-11_P06,.png,0,0,0,48289,49798,7249,8756,912,913
Books/AA_2010-11,AA_2010-11_P10,.png,0,0,0,52485,56690,10427,14627,904,905
Books/AA_Nov2010,AA_Nov2010_P25,.png,0,0,0,34942,39002,8255,12310,904,905
Books/AA_Summer2011,AA_Summer2011_P03,.png,0,0,0,17355,20380,41579,44601,910,911
Books/AA_Summer2011,AA_Summer2011_P03,.png,0,0,0,38168,41769,14387,17984,910,911
Books/AA_Summer2011,AA_Summer2011_P09,.png,0,0,0,27005,30462,24530,27983,910,911
Books/AA_Summer2011,AA_Summer2011_P20,.png,0,0,0,22063,27888,44296,50114,900,901
Books/AA_Summer2011,AA_Summer2011_P25,.png,0,0,0,40651,44630,18569,22543,906,907
Books/ArtOHara,ArtOHara_P21,.png,0,0,0,33380,35831,46069,48520,909,909
Books/ArtOHara,ArtOHara_P21,.png,0,0,0,42320,45709,9084,12472,909,909
Books/ArtOHara,ArtOHara_P24,.png,0,0,0,50939,53612,14073,16744,907,908
Books/ArtOHara,ArtOHara_P25,.png,0,0,0,18474,20392,48476,51522,907,908
Books/BobRita60,BobRita60_P21,.png,0,0,0,38391,41570,19597,23706,804,622
Books/Caribbean2020,Caribbean2020_Front,.png,2020,3,0,28976,31810,10060,13892,925,684
Books/Caribbean2020,Caribbean2020_P03,.png,2020,3,0,50516,55546,6410,13107,912,685
Books/Caribbean2020,Caribbean2020_P07,.png,2020,3,0,61507,64363,35390,39110,895,687
Books/Caribbean2020,Caribbean2020_P08,.png,2020,3,0,32110,34810,5931,9471,898,685
Books/Caribbean2020,Caribbean2020_P16,.png,2020,3,0,11359,13325,6428,9019,900,683
Books/Caribbean2020,Caribbean2020_P16,.png,2020,3,0,30000,31748,47112,49415,900,683
Books/Caribbean2020,Caribbean2020_P16,.png,2020,3,0,44199,46602,47303,50470,900,683
