Directory,Photo,Suffix,Year,Month,Day,Left,Right,Top,Bottom,Width,Height
Berberichs/E01,E01-0020,.jpg,0,0,0,34952,42925,19723,29479,600,618
Berberichs/E01,E01-0063,.jpg,0,0,0,11905,20970,29103,41849,600,617
Berberichs/E02,E02-0171,.jpg,0,0,0,6546,13167,37136,48495,861,600
Berberichs/E06,E06-0582,.jpg,0,0,0,24694,28931,20097,27743,897,600
Berberichs/E08,E08-0756,.jpg,0,0,0,11153,17495,31784,43143,899,600
Berberichs/E13,E13-1251,.jpg,0,0,0,39158,44108,11250,19769,887,600
Berberichs/E13,E13-1252,.jpg,0,0,0,42705,48541,7536,17694,887,600
Berberichs/F07,F07-0699,.jpg,0,0,0,24283,30199,12451,22500,842,600
Berberichs/F09,F09-0809,.jpg,0,0,0,36545,40168,19660,25777,850,600
Berberichs/F09,F09-0824,.jpg,0,0,0,47732,53251,27852,37245,843,600
Berberichs/F09,F09-0879,.jpg,0,0,0,29552,38586,38337,53738,856,600
Berberichs/F09,F09-0887,.jpg,0,0,0,51670,56519,11578,20097,865,600
Berberichs/F09,F09-0892,.jpg,0,0,0,33094,40085,23227,29034,600,869
Berberichs/F10,F10-0904,.jpg,0,0,0,21312,30141,41068,56141,861,600
Berberichs/F10,F10-0908,.jpg,0,0,0,27558,36316,18350,33641,868,600
Berberichs/F10,F10-0936,.jpg,0,0,0,39994,48252,22391,36699,857,600
Berberichs/F14,F14-1333,.jpg,0,0,0,24349,28752,15837,25012,759,600
Berberichs/F19,F19-1854,.jpg,0,0,0,35544,40431,18349,26869,885,600
Books/AA_2010-11,AA_2010-11_Front,.png,0,0,0,36573,43408,24910,31934,930,905
Books/AA_2010-11,AA_2010-11_P01,.png,0,0,0,40517,44843,40699,45006,909,913
Books/AA_2010-11,AA_2010-11_P04,.png,0,0,0,35588,38265,47760,50433,906,907
Books/AA_2010-11,AA_2010-11_P05,.png,0,0,0,21338,26546,43280,48482,906,907
Books/AA_2010-11,AA_2010-11_P06,.png,0,0,0,36427,39565,6614,10705,912,913
Books/AA_2010-11,AA_2010-11_P08,.png,0,0,0,32408,34420,38330,40340,912,913
Books/AA_2010-11,AA_2010-11_P10,.png,0,0,0,36972,40959,9052,13034,904,905
Books/AA_2010-11,AA_2010-11_P10,.png,0,0,0,25228,28997,42434,46200,904,905
Books/AA_2010-11,AA_2010-11_P13,.png,0,0,0,10514,16635,16114,22228,910,911
Books/AA_2010-11,AA_2010-11_P15,.png,0,0,0,25493,33199,2014,9711,910,911
Books/AA_2010-11,AA_2010-11_P16,.png,0,0,0,31042,40024,43211,52183,912,913
Books/AA_2010-11,AA_2010-11_P17,.png,0,0,0,21413,27737,41919,48236,912,913
Books/AA_2010-11,AA_2010-11_P17,.png,0,0,0,42181,45989,6747,10551,912,913
Books/AA_2010-11,AA_2010-11_P20,.png,0,0,0,36432,43330,7393,14284,912,913
Books/AA_2010-11,AA_2010-11_P23,.png,0,0,0,47028,50729,35561,39262,903,903
Books/AA_2010-11,AA_2010-11_ZBack,.png,0,0,0,27837,37551,11875,21579,904,905
Books/AA_Nov2010,AA_Nov2010_P04,.png,0,0,0,27364,36776,4786,15926,910,911
Books/AA_Nov2010,AA_Nov2010_P13,.png,0,0,0,30352,37201,31217,38066,909,909
Books/AA_Nov2010,AA_Nov2010_P22,.png,0,0,0,40053,44144,24019,28106,913,914
Books/AA_Summer2011,AA_Summer2011_P02,.png,0,0,0,13769,18475,36988,41775,910,911
Books/AA_Summer2011,AA_Summer2011_P06,.png,0,0,0,52169,54540,37541,39909,912,913
Books/AA_Summer2011,AA_Summer2011_P10,.png,0,0,0,38024,42129,42299,46399,910,911
Books/AA_Summer2011,AA_Summer2011_P12,.png,0,0,0,11101,13465,8021,10385,915,915
Books/Antarctica2019,Antarctica2019_Front,.png,2019,12,0,29678,33797,26683,31724,923,754
Books/Antarctica2019,Antarctica2019_P03,.png,2019,12,0,37371,44508,45636,54125,854,718
Books/Antarctica2019,Antarctica2019_P04,.png,2019,12,0,49055,51661,8543,11634,855,721
Books/Antarctica2019,Antarctica2019_P06,.png,2019,12,0,42052,44124,5279,7737,854,720
Books/Antarctica2019,Antarctica2019_P08,.png,2019,12,0,48203,51066,12162,15521,847,722
Books/Antarctica2019,Antarctica2019_P11,.png,2019,12,0,18504,21356,39193,42565,850,719
Books/Antarctica2019,Antarctica2019_P13,.png,2019,12,0,45465,46777,43170,44728,849,715
Books/Antarctica2019,Antarctica2019_P13,.png,2019,12,0,12968,14434,6416,8157,849,715
